en,jp,idn
particular,特定の,tertentu
passengers,乗客,penumpang
pedestrian,歩行者,pejalan kaki
penetrated,浸透した,ditembus
permission,許可,izin
philosophy,哲学,filsafat
playwright,劇作家,dramawan
popularity,人気,kepopuleran
population,人口,populasi
prefecture,県,prefektur
preserving,保存する,melestarikan
principles,原則,prinsip
privileges,特権,hak istimewa
production,生産,produksi
prohibited,禁止,dilarang
prosperity,繁栄,kemakmuran
punishment,罰,hukuman
recognized,認識された,dikenali
recovering,回復,pulih
regardless,関係なく,tanpa memedulikan
relatively,比較的,relatif
remembered,思い出した,ingat
reputation,評判,reputasi
restaurant,レストラン,restoran
retirement,退職,masa pensiun
revolution,革命,revolusi
ridiculous,ばかげている,konyol
sacrificed,犠牲になった,dikorbankan
scientific,科学的,ilmiah
sculptures,彫刻,patung
skepticism,懐疑論,keraguan
specialist,スペシャリスト,spesialis
spectators,観客,penonton
statistics,統計,statistik
stimulates,刺激する,merangsang
strategies,戦略,strategi
substitute,代わりの,pengganti
sufficient,十分な,memadai
swallowing,嚥下,menelan
sweatshirt,トレーナー,kaus
techniques,テクニック,teknik
technology,テクノロジー,teknologi
temptation,誘惑,godaan
throughout,全体を通して,selama
translated,翻訳された,diterjemahkan
transplant,移植,transplantasi
tremendous,途方もない,luar biasa besar
ultimately,結局のところ,akhirnya
university,大学,Universitas
vocabulary,語彙,kosakata
weaknesses,弱点,kelemahan
widespread,広く普及している,tersebar luas
wilderness,荒野,gurun
accommodate,収容する,menampung
accompanied,同行した,disertai
accumulated,蓄積された,terakumulasi
adolescence,思春期,masa remaja
alternative,代替,alternatif
anniversary,記念日,peringatan tahunan
anticipated,予想される,diantisipasi
appropriate,適切な,sesuai
aristocrats,貴族,bangsawan
astronomers,天文学者,astronom
authorities,当局,pihak berwajib
bureaucrats,官僚,birokrat
businessman,ビジネスマン,pengusaha
catastrophe,大惨事,malapetaka
challenging,挑戦的,menantang
circulation,循環,sirkulasi
citizenship,市民権,kewarganegaraan
compensated,補償された,kompensasi
complicated,複雑,rumit
compliments,お世辞,pujian
concentrate,集中,konsentrat
condominium,コンドミニアム,kondominium
considerate,思いやりのある,penuh perhatian
contributes,貢献する,berkontribusi
controversy,論争,kontroversi
corporation,株式会社,perusahaan
cultivating,栽培する,budidaya
definitions,定義,definisi
delinquency,非行,kejahatan
demonstrate,実演する,mendemonstrasikan
description,説明,keterangan
destination,行き先,tujuan
destruction,破壊,penghancuran
devastating,壊滅的な,merusak
development,発達,perkembangan
diminishing,減少する,yg berkurang
disarmament,軍縮,perlucutan senjata
distinguish,区別する,membedakan
distributed,配布された,didistribusikan
electricity,電気,listrik
embarrassed,恥ずかしい,malu
enterprises,企業,perusahaan
entertained,楽しませた,terhibur
environment,環境,lingkungan
established,設立,didirikan
experiments,実験,eksperimen
fascinating,魅力的な,memukau
fundamental,基本的,mendasar
handwriting,手書き,tulisan tangan
hemispheres,半球,belahan bumi
homogeneous,同種の,homogen
hospitality,おもてなし,keramahan
imagination,想像,imajinasi
immediately,すぐに,langsung
improvement,改善,peningkatan
indifferent,無関心,cuek
information,情報,informasi
ingredients,材料,bahan-bahan
inhabitants,住民,penduduk
interactive,相互の作用,interaktif
interpreted,解釈された,ditafsirkan
legislation,法律,peraturan perundang-undangan
magnificent,壮大,agung
masterpiece,傑作,mahakarya
millionaire,富豪,jutawan
necessarily,必然的に,perlu
obstructing,邪魔する,menghalangi
opportunity,機会,peluang
participate,参加する,ikut
performance,パフォーマンス,pertunjukan
personality,人格,kepribadian
perspective,視点,perspektif
pessimistic,悲観的,pesimistis
politicians,政治家,politisi
possibility,可能性,kemungkinan
prestigious,権威ある,bergengsi
recommended,推奨,direkomendasikan
regulations,規則,peraturan
renaissance,ルネサンス,Renaisans
reservation,予約,reservasi
resolutions,解像度,resolusi
responsible,責任者,bertanggung jawab
restaurants,レストラン,restoran
scholarship,奨学金,beasiswa
significant,重要な,penting
something,何か,sesuatu
spontaneous,自発的,spontan
temperature,温度,suhu
thermometer,温度計,termometer
thirtystory,三十階建て,tiga puluh lantai
traditional,伝統的,tradisional
transferred,転送された,ditransfer
transformed,変身した,berubah
transparent,透明,transparan
whitecollar,ホワイトカラー,kerah putih
accomplished,達成した,ahli
agricultural,農業用,pertanian
arrangements,段取り,pengaturan
civilization,文明,peradaban
confidential,機密,rahasia
consequences,結果,konsekuensi
conservation,保全,konservasi
conservative,保守的,konservatif
considerable,かなり,besar
constitution,憲法,konstitusi
construction,工事,konstruksi
contemporary,コンテンポラリー,kontemporer
conventional,従来の,konvensional
conversation,会話,percakapan
deliberately,故意に,dengan sengaja
deregulation,規制緩和,deregulasi
disappearing,消えていく,menghilang
disappointed,残念だった,kecewa
discouraging,落胆させる,mengecewakan
encountering,遭遇する,menghadapi
encyclopedia,百科事典,ensiklopedi
enthusiastic,熱狂的,antusias
exgirlfriend,元カノ,mantan pacar
expectations,期待,harapan
fingerprints,指紋,sidik jari
geographical,地理的な,geografis
independence,独立,kemerdekaan
instructions,説明書,instruksi
intelligence,知能,intelijen
intersection,交差点,persimpangan
manufactured,製造された,diproduksi
negotiations,交渉,negosiasi
nevertheless,それにもかかわらず,namun demikian
organization,組織,organisasi
overwhelming,圧倒的な,begitu banyak
passionately,情熱的に,dengan penuh semangat
perseverance,忍耐力,kegigihan
psychologist,心理学者,psikolog
registration,登録,Registrasi
restrictions,制限,pembatasan
sixtyyearold,六十歳,enam puluh tahun
spokesperson,広報担当者,juru bicara
surroundings,周囲,lingkungan
transactions,トランザクション,transaksi
unemployment,失業,pengangguran
acquaintances,知人,kenalan
advertisement,広告,iklan
approximately,約,sekitar
autobiography,自伝,autobiografi
breakthroughs,画期的な進歩,terobosan
circumstances,状況,keadaan
extraordinary,並外れた,luar biasa
indispensable,不可欠な,sangat diperlukan
international,国際的,internasional
investigation,調査,penyelidikan
mediterranean,地中海,Mediterania
modernization,近代化,modernisasi
pronunciation,発音,pengucapan
restructuring,リストラ,restrukturisasi
selfconfident,自信がある,percaya diri
sophisticated,洗練された,rumit
superstitions,迷信,takhayul
understanding,理解,memahami
unfortunately,残念ながら,Sayangnya
unprecedented,前例のない,belum pernah terjadi sebelumnya
administration,管理,administrasi
anthropologist,人類学者,antropolog
architecture,建築,Arsitektur
characteristic,特性,ciri
discrimination,差別,diskriminasi
futureoriented,未来志向,berorientasi masa depan
qualifications,資格,kualifikasi
questionnaires,アンケート,kuesioner
simultaneously,同時に,serentak
transportation,交通機関,angkutan
westernization,西洋化,pembaratan
competitiveness,競争力,daya saing
congratulations,おめでとう,Selamat
representatives,代表者,perwakilan
twentysomething,二十代,duapuluhan
misunderstanding,誤解,salah paham
